"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","module","receiver"
"Gpc3",0.453565742743999,0.00410229156379423,-0.000812811206536421,-0.0118859030174214,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Gpc6",0.478557465086419,0.00442922487729323,-0.000485877893037419,-0.00654675740422621,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Gpi1",0.409973103282488,0.00376431882031412,-0.00115078395001653,-0.0122860846861235,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Grn",0.437232677017136,0.00398446564620877,-0.000930637124121882,-0.00971607676497566,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Gstp1",0.426455847201238,0.00390472304081108,-0.00101037972951957,-0.0152069982410336,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Gstp2",0.426455847201238,0.00390472304081108,-0.00101037972951957,-0.0152069982410336,"Fibroblasts","lightcyan","SmoothMuscleCells"
"H2-D1",0.423512176094116,0.00389169483209867,-0.00102340793823198,-0.0160076572678914,"Fibroblasts","lightcyan","SmoothMuscleCells"
"H2-K1",0.425566849455479,0.00390921483939319,-0.00100588793093746,-0.015741250633849,"Fibroblasts","lightcyan","SmoothMuscleCells"
"H2-Q4",0.423512176094116,0.00389153416056444,-0.00102356860976621,-0.0160056326676183,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Hsp90b1",0.388006694697304,0.00369989744812926,-0.0012152053222014,-0.0203047626133464,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Hspg2",0.434434148399117,0.00400168945562659,-0.000913413314704068,-0.0116481851665255,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Icam1",0.465027463680355,0.00416995309725142,-0.000745149673079235,-0.0109950673670049,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Igf1",0.415207304295758,0.00379692478455654,-0.00111817798577412,-0.016007798714744,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Igfbp4",0.451479319463147,0.00433867253504997,-0.000576430235280682,-0.00850364099740073,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Il15",0.490141649997954,0.00473344536591687,-0.000181657404413785,-0.00233996088600977,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Il16",0.432306903793201,0.00400013107580219,-0.000914971694528464,-0.0134102034748722,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ildr2",0.486726265801245,0.00446011071005621,-0.000454992060274442,-0.0088569880522831,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Inhba",0.47423040463004,0.0044021689276549,-0.000512933842675753,-0.0115601341994253,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Inhbb",0.478376036975044,0.00460727017207085,-0.000307832598259807,-0.0038877295923707,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Jag1",0.407201788881175,0.00456283873178961,-0.000352264038541044,-0.00084107278935537,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Jam2",0.459398656524826,0.00419913678506714,-0.000715965985263509,-0.0142629013868739,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Jam3",0.453475028688315,0.0040782361489571,-0.000836866621373555,-0.0133621232447199,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lama2",0.425045243635271,0.00532597286000321,0.000410870089672555,0.00365456066203267,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lama4",0.458096909825688,0.00419323366761989,-0.000721869102710764,-0.0110643147349639,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lamb1",0.40282029999138,0.00371473624623775,-0.0012003665240929,-0.0184236156894691,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lamb2",0.426437704390099,0.00385904084507107,-0.00105606192525959,-0.0173927313114086,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lamc1",0.367478103894808,0.00349950513477264,-0.00141559763555801,-0.0215591484356616,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lefty1",0.446308618288854,0.00418334435493301,-0.000731758415397647,-0.0115568105075804,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lgals1",0.444507944283423,0.0040390344337125,-0.000876068336618156,-0.00923347863502336,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lgals3",0.456423235498217,0.00422802780490622,-0.000687074965424436,-0.00810345902606899,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lgals3bp",0.426310704712134,0.00386147992525865,-0.001053622845072,-0.0161870367336636,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lpl",0.40908410553673,0.00375763166722681,-0.00115747110310384,-0.0164231233282889,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lrpap1",0.396479387498689,0.00369726999254815,-0.0012178327777825,-0.019113716805907,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lrrn2",0.474679439205704,0.00440137705417093,-0.000513725716159726,-0.007825356999849,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ltbp1",0.470474842724499,0.00462174140913924,-0.000293361361191412,-0.00358859793135103,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ltbp3",0.395259283449668,0.00367979326884093,-0.00123530950148972,-0.0235232854339971,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Lum",0.422019929878028,0.00388262004895257,-0.00103248272137808,-0.0158360137816379,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Mdk",0.413352201856913,0.00379570248863911,-0.00111940028169154,-0.0133431033194885,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Mfap2",0.418255296566922,0.00382983218223532,-0.00108527058809533,-0.0151063878303638,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Mfap5",0.428701020079549,0.0039288926936038,-0.000986210076726848,-0.0168751616169124,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Mfge8",0.383412027776641,0.00357251279654696,-0.0013425899737837,-0.0220310611403852,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Mif",0.449247753693192,0.00403761253190122,-0.000877490238429436,-0.0172779167205103,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Mmp14",0.439083243753196,0.00398294893286596,-0.000932153837464697,-0.0125267094068019,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Mmp16",0.437355140992319,0.00411765038619971,-0.000797452384130941,-0.011238811170412,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Mmp2",0.4488350047398,0.00406967352295984,-0.00084542924737081,-0.0127860960048309,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Mpdz",0.471472697337082,0.00424308600097757,-0.000672016769353079,-0.00887644679119748,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Msn",0.433109723186055,0.00389140449711845,-0.00102369827321221,-0.0152548687990162,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Mxra8",0.441269452495312,0.00397561342178232,-0.000939489348548333,-0.0152579892259262,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Myoc",0.465109106330471,0.00436514387574695,-0.000549958894583707,-0.0118649686537321,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Nampt",0.423389712118938,0.0038466369008966,-0.00106846586943405,-0.0147550573244106,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ncam1",0.439205707728379,0.00399280408816575,-0.0009222986821649,-0.0134716654023108,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Neo1",0.450227465494639,0.0041116539597347,-0.000803448810595954,-0.0126647243143025,"Fibroblasts","lightcyan","SmoothMuscleCells"
