"celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database","n_overlap_genes","overlap_hit_genes","go_source","hub_hit_genes"
"EndocardialCells","GO:0055008","cardiac muscle tissue morphogenesis","11/309","67/13010",0.164179104477612,6.91252475486645,7.5678956713063,4.46476187305186e-07,4.04184970674333e-05,3.67102642895375e-05,"Actc1/Bmpr1a/Eng/Foxc1/Myh6/Myl2/Tcap/Tnnc1/Tnni3/Tnnt2/Zfpm2",11,"brown","GO_BP",2,"Bmpr1a/Eng","GO_BP (subset con hub genes)","Eng"
"Myocytes","GO:0035051","cardiocyte differentiation","23/516","181/13010",0.12707182320442,3.20388453466958,6.06775139893046,7.81919637936784e-07,5.29052412168299e-05,5.04132398143453e-05,"Actc1/Actn2/Acvr1/Adprhl1/Asb2/Camk2d/Cav3/Csrp3/Fhl2/Gata4/Gata6/Hand2/Myh6/Mylk3/Nkx2-5/Nppa/Nrap/Pdlim5/Popdc2/Speg/Tbx5/Tcap/Tgfbr3",23,"brown","GO_BP",3,"Acvr1/Nppa/Tgfbr3","GO_BP (subset con hub genes)","Nppa"
"SmoothMuscleCells","GO:0001525","angiogenesis","49/546","497/13010",0.0985915492957746,2.34922354640664,6.41905271036053,2.11587432267763e-08,9.26118191036e-05,8.63276723652475e-05,"Adm/Angpt2/Angptl4/C3/Casp8/Ccdc134/Cd34/Cfh/Cldn5/Dcn/Ecscr/Emcn/Emilin1/Enpep/Fap/Fbn1/Foxo4/Fyn/Gata2/Gata6/Hand2/Hspg2/Itga5/Mcam/Mdk/Mmrn2/Mtdh/Nrxn1/Pdgfrb/Pf4/Ppp1r16b/Prkx/Pxdn/Pxn/Ramp2/Rasip1/Rora/Rtn4/S1pr1/Smad1/Smad5/Tbx20/Tcf21/Tcf4/Tek/Tgfb1/Tgfbr1/Tmem201/Tnfrsf12a",49,"brown","GO_BP",15,"Angpt2/C3/Cfh/Cldn5/Dcn/Fbn1/Hspg2/Itga5/Mcam/Pdgfrb/Pf4/Rtn4/Tek/Tgfb1/Tgfbr1","GO_BP (subset con hub genes)","C3/Dcn"
"Myocytes","GO:0072521","purine-containing compound metabolic process","42/516","490/13010",0.0857142857142857,2.16112956810631,5.32442381063351,2.08561676896644e-06,0.000131706698960231,0.000125502903816752,"Adnp/Ak1/Arl2/Atic/Atp1a2/Dld/Dlst/Eno3/Entpd4/Gamt/Got2/Idh2/Ldhb/Mfn1/Myh6/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Nudt19/Nudt3/Nudt4/Pdha1/Pdhb/Pdk2/Pgam2/Prkaca/Rhoq/Sdha/Sdhd/Slc25a11/Suclg1/Tpi1/Vdac1",42,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:0014706","striated muscle tissue development","27/309","410/13010",0.0658536585365854,2.77267345488989,5.68876031120208,1.68553703736778e-06,0.000148463924453556,0.000134842962989422,"Abcc9/Actc1/Adprhl1/Bmpr1a/Csrp3/Ddx5/Dmd/Eng/Foxc1/Gata4/Hand2/Hspg2/Kcnj8/Myh6/Myl2/Myl7/Nppa/Sav1/Ski/Tbx5/Tcap/Tnnc1/Tnni3/Tnnt2/Trip10/Vegfa/Zfpm2",27,"brown","GO_BP",5,"Bmpr1a/Eng/Hspg2/Nppa/Vegfa","GO_BP (subset con hub genes)","Eng"
"Myocytes","GO:0009150","purine ribonucleotide metabolic process","29/516","291/13010",0.0996563573883162,2.51265350701937,5.30341394572796,4.81839146371858e-06,0.000268483606706319,0.000255837193816637,"Adnp/Ak1/Arl2/Atic/Atp1a2/Eno3/Entpd4/Mfn1/Myh6/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Nudt3/Nudt4/Pgam2/Prkaca/Rhoq/Sdha/Sdhd/Tpi1",29,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:0055010","ventricular cardiac muscle tissue morphogenesis","9/309","52/13010",0.173076923076923,7.28715459297984,7.08547649677758,3.2090812285376e-06,0.000275220940100106,0.000249970537801876,"Bmpr1a/Eng/Foxc1/Myh6/Myl2/Tnnc1/Tnni3/Tnnt2/Zfpm2",9,"brown","GO_BP",2,"Bmpr1a/Eng","GO_BP (subset con hub genes)","Eng"
"EndocardialCells","GO:0055001","muscle cell development","18/309","216/13010",0.0833333333333333,3.50862998921251,5.79885902244807,3.98920511074206e-06,0.000333354345023291,0.000302770439174269,"Actc1/Adprhl1/Bmpr1a/Csrp3/Dmd/Efemp2/Eng/Gata4/Myh6/Myl2/Nppa/Ski/Tbx5/Tcap/Tmod2/Tnnt2/Trip10/Vegfa",18,"brown","GO_BP",4,"Bmpr1a/Eng/Nppa/Vegfa","GO_BP (subset con hub genes)","Eng"
"Myocytes","GO:0072522","purine-containing compound biosynthetic process","23/516","205/13010",0.11219512195122,2.82879561353753,5.36350101756619,6.74079033856872e-06,0.000370157312939665,0.000352721752269881,"Ak1/Atic/Dld/Dlst/Idh2/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Pdha1/Pdhb/Pdk2/Sdha/Sdhd/Vdac1",23,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"SmoothMuscleCells","GO:0051145","smooth muscle cell differentiation","14/546","67/13010",0.208955223880597,4.97895139686184,6.83404946710727,5.5935246835658e-07,0.000408047625666125,0.000380359678482474,"Adm/C3/Cfh/Ednrb/Foxo4/Gata6/Pbrm1/Pdgfrb/Ramp2/Rcan1/Sgcb/Smad6/Tbx18/Tgfb1",14,"brown","GO_BP",5,"C3/Cfh/Ednrb/Pdgfrb/Tgfb1","GO_BP (subset con hub genes)","C3"
"Myocytes","GO:0006163","purine nucleotide metabolic process","33/516","368/13010",0.0896739130434783,2.26096435793731,4.98671885923512,1.04712353909592e-05,0.000551048762449227,0.000525092651915059,"Adnp/Ak1/Arl2/Atic/Atp1a2/Eno3/Entpd4/Got2/Idh2/Ldhb/Mfn1/Myh6/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Nudt3/Nudt4/Pgam2/Prkaca/Rhoq/Sdha/Sdhd/Slc25a11/Tpi1",33,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
