source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,clean_label,module_ligand,kME_ligand,module_receptor,kME_receptor,age_module_ligand,age_module_receptor,age_relevant
EndocardialCells,EndocardialCells,Nppa,Npr1,0.94108737,0.0,0.8732534,0.3046268921796994,0.2592638186128564,0.055821124,0.8330656,0.07056231408789657,0.13896009920832303, ,brown,0.695639542145225,turquoise,0.737674978374714,True,False,True
SmoothMuscleCells,Leukocytes,Rarres2,Ccrl2,0.94069445,0.0,0.75648576,0.6889086551160021,0.7739125508899114,0.12771612,0.8228447,0.02684368239950117,0.13911046965733564, ,brown,0.32876448056304,turquoise,0.724698430769641,True,False,True
EndocardialCells,EndocardialCells,Col4a2,Cd93,0.97687304,0.0,0.68993735,0.18266166237662784,0.018510216196077067,0.03758911,0.81603307,0.34334054244388007,0.13926088233451714, ,,,lightcyan,0.582187985085655,False,True,True
Myocytes,EndocardialCells,Apoa1,Abca1,0.2457038,0.0,0.016583337,0.12984182184926546,0.0772089653820951,0.049678646,0.40747777,0.24039554069198557,0.13932445177728472, ,midnightblue,0.255182682496265,lightcyan,0.751980973473931,True,True,True
SmoothMuscleCells,EndothelialCells,Vtn,Cd47,0.9406524,0.0,0.88352895,1.2767970800940505,0.9473683129710835,0.16683386,0.8338775,0.006448067686361211,0.1394113979491083, ,brown,0.715989746853182,,,True,False,True
EndothelialCells,Fibroblasts,Hspg2,Dag1,0.95446604,0.0,0.6887809,0.3575851441200231,0.5478710588676163,0.0638412,0.8159071,0.031791923050804034,0.13956198613207893, ,brown,0.70755077011452,pink,0.439064216849562,True,False,True
Leukocytes,Leukocytes,Tgfb1,Itgb1,0.9398,0.0,0.8766929,0.13029073224143692,0.1903468142199381,0.041723944,0.83333874,0.15736840474659175,0.14001418594635867, ,brown,0.780749588439731,,,True,False,True
EndocardialCells,EndocardialCells,Vwf,Sirpa,1.1522475,0.0,0.68750256,1.3019547372192004,1.2616881632199946,0.12898095,0.8157676,0.018192982824421874,0.1404670078681025, ,brown,0.691096517422782,,,True,False,True
EndocardialCells,SmoothMuscleCells,Tfpi,Lrp1,0.93901664,0.0,0.7648037,0.40450259356656904,0.4064073007697435,0.0662287,0.8236403,0.028541536280802495,0.141071825489909, ,brown,0.667671842240135,brown,0.561942294262648,True,True,True
EndocardialCells,EndocardialCells,Apoe,Abca1,0.9809595,0.0,0.6856032,0.3877270239011219,0.25710266581014346,0.05193281,0.8155596,0.07153943779597782,0.1419811932699108, ,,,lightcyan,0.751980973473931,False,True,True
