,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
Bmp2^Eng,0.0024786977628384085,6.241310547403627e-13,0.025599467995494944,0.0028867996151066403,0.00011956326754907343,2.7398351462299405e-19,0.046435619307029254,0.010597950608517244
Bmp2^Gpc1,2.9970724749172077e-35,1.7857867371884975e-23,4.3650609344338186e-08,0.017831186928754187,1.7530789780294528e-06,5.845983477765055e-14,0.005216804544189165,1.1957461995751918e-05
Bmp2^Rgmb,0.0015968550932644269,5.285060788107226e-15,0.006918833746838546,0.00016404393702905217,0.0009864371332709465,8.750753544705246e-16,0.017441510297605527,0.010661809467239379
Bmp2^Smo,2.906686839490408e-15,1.0767421676997158e-10,0.0035567765384777756,6.071880597302788e-08,0.0017646293538321712,3.1353819272756686e-13,0.011921766920875519,0.010890797360763215
Bmp4^Acvr2a_Bmpr1a,6.914573671502037e-06,0.000346580109526181,3.3801243066326355e-11,0.0023413930190331533,0.0036730360829423997,0.0064875914190907985,7.504359833521514e-30,0.0023585392371732634
Bmp4^Acvr2b_Bmpr1a,1.3365544776498363e-12,0.0018537705080706533,1.740154862446763e-05,0.00493995251178547,5.4442902713151166e-08,0.0042859150220152,6.869744959666078e-23,2.4520673148939104e-11
Bmp4^Bmpr1a_Bmpr2,2.063332509288201e-43,0.009176783054346074,0.0001932056731646531,0.004540932675994322,0.00802585825999713,0.01842628643667542,1.3057093128823248e-22,0.0026273902664347712
Bmp4^Lrp6,0.008725674169352285,0.014470700731956132,0.00014218790188492335,0.003606139929052175,0.015946797396305782,0.03744091193166075,8.652621593622377e-25,0.003082282544461607
Bmp4^Rgmb,2.5103885975193602e-08,0.013327005926073113,0.0023333550043182633,0.00023516031581047485,0.015443317735943452,0.030525456693829844,6.527356778215681e-25,0.007633501582623565
Bmp6^Acvr1_Acvr2a,3.223258773816955e-34,0.010809742866248955,0.0010942186467937886,4.655945699843454e-15,0.010915913174349675,0.003224681687200652,3.4628304892827056e-15,1.9791021615322258e-05
