"gene_celltype","module","celltype","gene","kME","is_hub"
"1810029B16Rik_EndocardialCells","cyan","EndocardialCells","1810029B16Rik",0.473050825956517,FALSE
"1810030N24Rik_EndocardialCells","purple","EndocardialCells","1810030N24Rik",0.482665445425924,FALSE
"1810030O07Rik_EndocardialCells","blue","EndocardialCells","1810030O07Rik",0.428140232201735,FALSE
"1810032O08Rik_EndocardialCells","red","EndocardialCells","1810032O08Rik",0.7699451957598,TRUE
"1810034E14Rik_EndocardialCells","purple","EndocardialCells","1810034E14Rik",0.572156714953897,FALSE
"1810035L17Rik_EndocardialCells","purple","EndocardialCells","1810035L17Rik",0.753312541060912,TRUE
"1810043G02Rik_EndocardialCells","blue","EndocardialCells","1810043G02Rik",0.506097225257835,FALSE
"1810044D09Rik_EndocardialCells","royalblue","EndocardialCells","1810044D09Rik",0.360801803473916,FALSE
"1810048J11Rik_EndocardialCells","purple","EndocardialCells","1810048J11Rik",0.709853982092224,TRUE
"1810049H13Rik_EndocardialCells","blue","EndocardialCells","1810049H13Rik",0.51908204286971,FALSE
"1810055G02Rik_EndocardialCells","red","EndocardialCells","1810055G02Rik",0.476170591498783,FALSE
"1810062G17Rik_EndocardialCells","yellow","EndocardialCells","1810062G17Rik",0.291525859877459,FALSE
"1810062O18Rik_EndocardialCells","midnightblue","EndocardialCells","1810062O18Rik",0.170113509118145,FALSE
"1810063B05Rik_EndocardialCells","red","EndocardialCells","1810063B05Rik",0.615936127674907,FALSE
"1810063B07Rik_EndocardialCells","red","EndocardialCells","1810063B07Rik",0.772562018129045,TRUE
"1810074P20Rik_EndocardialCells","red","EndocardialCells","1810074P20Rik",0.639430530243623,FALSE
"2010003O02Rik_EndocardialCells","purple","EndocardialCells","2010003O02Rik",0.556931490157052,FALSE
"2010009K17Rik_EndocardialCells","yellow","EndocardialCells","2010009K17Rik",0.372771410886541,FALSE
"2010011I20Rik_EndocardialCells","black","EndocardialCells","2010011I20Rik",0.453120780666994,FALSE
"2010012O05Rik_EndocardialCells","yellow","EndocardialCells","2010012O05Rik",0.29124786981891,FALSE
"2010016I18Rik_EndocardialCells","midnightblue","EndocardialCells","2010016I18Rik",0.626555891642471,TRUE
"2010107E04Rik_EndocardialCells","brown","EndocardialCells","2010107E04Rik",0.498495452771483,FALSE
"2010109K11Rik_EndocardialCells","red","EndocardialCells","2010109K11Rik",0.525392210921475,FALSE
"2010110P09Rik_EndocardialCells","sienna3","EndocardialCells","2010110P09Rik",0.215776882672422,FALSE
"2010111I01Rik_EndocardialCells","black","EndocardialCells","2010111I01Rik",0.806354556868927,FALSE
"2010204K13Rik_EndocardialCells","blue","EndocardialCells","2010204K13Rik",0.596838773808225,FALSE
"2010305A19Rik_EndocardialCells","lightgreen","EndocardialCells","2010305A19Rik",0.347157730017411,FALSE
"2010320M18Rik_EndocardialCells","red","EndocardialCells","2010320M18Rik",0.711320844004855,TRUE
"2210009G21Rik_EndocardialCells","yellow","EndocardialCells","2210009G21Rik",0.342525711802562,FALSE
"2210010C17Rik_EndocardialCells","blue","EndocardialCells","2210010C17Rik",0.766025189616076,TRUE
"2210013O21Rik_EndocardialCells","red","EndocardialCells","2210013O21Rik",0.734717551084135,TRUE
"2210016L21Rik_EndocardialCells","red","EndocardialCells","2210016L21Rik",0.676099663589853,FALSE
"2210018M11Rik_EndocardialCells","purple","EndocardialCells","2210018M11Rik",0.416393973482495,FALSE
"2210020M01Rik_EndocardialCells","purple","EndocardialCells","2210020M01Rik",0.523697019282442,FALSE
"2210021J22Rik_EndocardialCells","purple","EndocardialCells","2210021J22Rik",0.440355400065003,FALSE
"2210403K04Rik_EndocardialCells","salmon","EndocardialCells","2210403K04Rik",0.585690366941973,TRUE
"2210404J11Rik_EndocardialCells","purple","EndocardialCells","2210404J11Rik",0.663074532445453,FALSE
"2210408F21Rik_EndocardialCells","red","EndocardialCells","2210408F21Rik",0.526105081265256,FALSE
"2210411K11Rik_EndocardialCells","darkgreen","EndocardialCells","2210411K11Rik",0.723035272216471,FALSE
"2210415F13Rik_EndocardialCells","yellow","EndocardialCells","2210415F13Rik",0.441993182964143,FALSE
"2300009A05Rik_EndocardialCells","salmon","EndocardialCells","2300009A05Rik",0.367891682849668,FALSE
"2310001H17Rik_EndocardialCells","red","EndocardialCells","2310001H17Rik",0.513263286442921,FALSE
"2310003F16Rik_EndocardialCells","lightcyan","EndocardialCells","2310003F16Rik",0.370844420342179,FALSE
"2310003L22Rik_EndocardialCells","red","EndocardialCells","2310003L22Rik",0.610240695975969,FALSE
"2310004I24Rik_EndocardialCells","blue","EndocardialCells","2310004I24Rik",0.788516617419342,TRUE
"2310008H04Rik_EndocardialCells","darkred","EndocardialCells","2310008H04Rik",0.538417353748569,FALSE
"2310008H09Rik_EndocardialCells","lightcyan","EndocardialCells","2310008H09Rik",0.167739231785311,FALSE
"2310009A05Rik_EndocardialCells","blue","EndocardialCells","2310009A05Rik",0.462925608615836,FALSE
"2310010J17Rik_EndocardialCells","darkred","EndocardialCells","2310010J17Rik",0.444803824129086,FALSE
"2310011J03Rik_EndocardialCells","blue","EndocardialCells","2310011J03Rik",0.585540516651201,FALSE
