"","celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database"
"1148","EndothelialCells","GO:0009147","pyrimidine nucleoside triphosphate metabolic process","1/6","20/13010",0.05,108.416666666667,10.3262157623855,0.009190057603362,0.041355259215129,0.0193474896912884,"Nme5",1,"darkmagenta","GO_BP"
"1149","EndothelialCells","GO:0009220","pyrimidine ribonucleotide biosynthetic process","1/6","20/13010",0.05,108.416666666667,10.3262157623855,0.009190057603362,0.041355259215129,0.0193474896912884,"Nme5",1,"darkmagenta","GO_BP"
"1150","EndothelialCells","GO:0046039","GTP metabolic process","1/6","24/13010",0.0416666666666667,90.3472222222222,9.41039987365142,0.0110195965495857,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1151","EndothelialCells","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","1/6","26/13010",0.0384615384615385,83.3974358974359,9.03348274663027,0.011933309774791,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1152","EndothelialCells","GO:0009218","pyrimidine ribonucleotide metabolic process","1/6","27/13010",0.037037037037037,80.3086419753086,8.86082110631428,0.0123899025151909,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1153","EndothelialCells","GO:0120316","sperm flagellum assembly","1/6","27/13010",0.037037037037037,80.3086419753086,8.86082110631428,0.0123899025151909,0.0449699949604424,0.0210385941335403,"Lrrc46",1,"darkmagenta","GO_BP"
"1154","EndothelialCells","GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","1/6","28/13010",0.0357142857142857,77.4404761904762,8.69742512702881,0.01284631941305,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1155","EndothelialCells","GO:0006221","pyrimidine nucleotide biosynthetic process","1/6","29/13010",0.0344827586206897,74.7701149425287,8.54249013134713,0.0133025605225499,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1156","EndothelialCells","GO:0006858","extracellular transport","1/6","29/13010",0.0344827586206897,74.7701149425287,8.54249013134713,0.0133025605225499,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1157","EndothelialCells","GO:0006308","DNA catabolic process","1/6","30/13010",0.0333333333333333,72.2777777777778,8.39530607128616,0.0137586258978569,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1158","EndothelialCells","GO:0021591","ventricular system development","1/6","31/13010",0.032258064516129,69.9462365591398,8.25524368133762,0.0142145155931277,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1159","EndothelialCells","GO:0120031","plasma membrane bounded cell projection assembly","2/6","434/13010",0.00460829493087558,9.99231950844854,4.09264835867357,0.0152341465021769,0.0449699949604424,0.0210385941335403,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1160","EndothelialCells","GO:0045109","intermediate filament organization","1/6","34/13010",0.0294117647058824,63.7745098039216,7.87247829220068,0.0155811311400853,0.0449699949604424,0.0210385941335403,"Prph",1,"darkmagenta","GO_BP"
"1161","EndothelialCells","GO:0030031","cell projection assembly","2/6","446/13010",0.00448430493273543,9.72346786248132,4.02672278896427,0.0160491500987697,0.0449699949604424,0.0210385941335403,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1162","EndothelialCells","GO:0035082","axoneme assembly","1/6","37/13010",0.027027027027027,58.6036036036036,7.53684194462941,0.0169461675151044,0.0449699949604424,0.0210385941335403,"Lrrc46",1,"darkmagenta","GO_BP"
