"gene_celltype","module","celltype","gene","kME"
"Elk3_EndothelialCells","turquoise","EndothelialCells","Elk3",0.757570804806364
"Zfp768_EndothelialCells","turquoise","EndothelialCells","Zfp768",0.757518993073181
"Mapk12_Fibroblasts","turquoise","Fibroblasts","Mapk12",0.757437860459824
"Klf2_Leukocytes","turquoise","Leukocytes","Klf2",0.757304460559876
"Rtp4_Leukocytes","turquoise","Leukocytes","Rtp4",0.757286878720257
"Gas5_Leukocytes","turquoise","Leukocytes","Gas5",0.757274178071056
"5430435G22Rik_Leukocytes","turquoise","Leukocytes","5430435G22Rik",0.757222831959663
"Ralbp1_Leukocytes","turquoise","Leukocytes","Ralbp1",0.757086648325066
"Slc4a3_Fibroblasts","turquoise","Fibroblasts","Slc4a3",0.757007483241048
"Rps17_Leukocytes","turquoise","Leukocytes","Rps17",0.756975244730454
"Ankrd49_EndothelialCells","turquoise","EndothelialCells","Ankrd49",0.756718317543087
"2610507B11Rik_Leukocytes","turquoise","Leukocytes","2610507B11Rik",0.756671387523531
"Arhgef2_EndothelialCells","turquoise","EndothelialCells","Arhgef2",0.756395808843614
"Prdm5_EndothelialCells","turquoise","EndothelialCells","Prdm5",0.756332970871437
"Gtdc1_Fibroblasts","turquoise","Fibroblasts","Gtdc1",0.756293789483748
"Ythdf3_Fibroblasts","turquoise","Fibroblasts","Ythdf3",0.756117968465003
"Rian_Fibroblasts","turquoise","Fibroblasts","Rian",0.75592536784248
"Gabarap_Leukocytes","turquoise","Leukocytes","Gabarap",0.755878617408606
"Rpl7a_EndothelialCells","turquoise","EndothelialCells","Rpl7a",0.755784673080483
"Pabpc1_Leukocytes","turquoise","Leukocytes","Pabpc1",0.755509588475797
"Cmpk1_Leukocytes","turquoise","Leukocytes","Cmpk1",0.75549248746524
"Tomm6_Leukocytes","turquoise","Leukocytes","Tomm6",0.755462131847136
"Rps15a_Leukocytes","turquoise","Leukocytes","Rps15a",0.755455063046095
"Gm10033_EndothelialCells","turquoise","EndothelialCells","Gm10033",0.755205033139223
"Pcgf2_EndothelialCells","turquoise","EndothelialCells","Pcgf2",0.755051761698579
"Rpl19_Leukocytes","turquoise","Leukocytes","Rpl19",0.75499682736526
"Slc39a3_EndothelialCells","turquoise","EndothelialCells","Slc39a3",0.754977421187285
"Pnkd_Leukocytes","turquoise","Leukocytes","Pnkd",0.754916795984093
"Msr1_Leukocytes","turquoise","Leukocytes","Msr1",0.754729424891101
"Stox2_EndothelialCells","turquoise","EndothelialCells","Stox2",0.754609062397631
"Haus4_EndothelialCells","turquoise","EndothelialCells","Haus4",0.754567131005341
